2026-07-19 13:55:55.23 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:55:55.75 | INFO    | PARSER   | [Smenime] Exracted 4 items in 41ms
2026-07-19 13:55:56.04 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 381ms
2026-07-19 13:55:56.59 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 281ms
2026-07-19 13:55:56.87 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 279ms
2026-07-19 13:55:57.42 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 773ms
2026-07-19 13:55:57.97 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 813ms
2026-07-19 13:55:58.46 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone13'
2026-07-19 13:55:58.92 | WARNING | PARSER   | [Smenime] 0 items found in 9ms! (CSS selector 'a[title]' broken or empty query)
2026-07-19 13:55:59.02 | WARNING | PARSER   | [Cellphone BG] 0 items found in 20ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 13:55:59.22 | INFO    | PARSER   | [GagoGSM] Exracted 1 items in 125ms
2026-07-19 13:55:59.75 | WARNING | PARSER   | [Alpha Mobile] 0 items found in 182ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 13:56:00.03 | WARNING | PARSER   | [Siaifon] 0 items found in 618ms! (CSS selector 'a.c-product-grid__product-title-link' broken or empty query)
2026-07-19 13:56:00.82 | WARNING | PARSER   | [PhoneZona] 0 items found in 787ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 13:56:00.90 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone'
2026-07-19 13:56:01.43 | INFO    | PARSER   | [Smenime] Exracted 35 items in 36ms
2026-07-19 13:56:01.73 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 164ms
2026-07-19 13:56:02.86 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 544ms
2026-07-19 13:56:04.28 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 124ms
2026-07-19 13:56:05.02 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 658ms
2026-07-19 13:56:09.18 | INFO    | PARSER   | [Cellphone BG] Exracted 20 items in 245ms
2026-07-19 13:56:09.80 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:56:10.24 | INFO    | PARSER   | [Smenime] Exracted 4 items in 13ms
2026-07-19 13:56:10.78 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 244ms
2026-07-19 13:56:11.03 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 244ms
2026-07-19 13:56:11.51 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 269ms
2026-07-19 13:56:11.62 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 592ms
2026-07-19 13:56:12.42 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 761ms
2026-07-19 13:56:27.59 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:56:28.31 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:56:33.22 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:56:33.94 | INFO    | PARSER   | [Smenime] Exracted 4 items in 53ms
2026-07-19 13:56:33.97 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 252ms
2026-07-19 13:56:34.17 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 167ms
2026-07-19 13:56:34.62 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 444ms
2026-07-19 13:56:34.74 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 122ms
2026-07-19 13:56:35.48 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 654ms
2026-07-19 13:56:36.86 | SUCCESS | API      | SEARCH COMPLETED -> Found 176 items across all sites in 3.64s
2026-07-19 13:57:03.07 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:57:04.49 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:57:08.62 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 13:57:09.15 | INFO    | PARSER   | [Smenime] Exracted 4 items in 32ms
2026-07-19 13:57:09.40 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 254ms
2026-07-19 13:57:09.56 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 204ms
2026-07-19 13:57:10.10 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 534ms
2026-07-19 13:57:10.22 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 121ms
2026-07-19 13:57:10.98 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 695ms
2026-07-19 14:02:41.67 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 14:02:41.90 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 14:02:42.11 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 14:02:42.30 | INFO    | PARSER   | [Smenime] Exracted 4 items in 23ms
2026-07-19 14:02:42.64 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 499ms
2026-07-19 14:02:42.83 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 387ms
2026-07-19 14:02:42.88 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 14:02:43.20 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 517ms
2026-07-19 14:02:43.36 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 345ms
2026-07-19 14:02:43.56 | INFO    | PARSER   | [Smenime] Exracted 4 items in 24ms
2026-07-19 14:02:43.66 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 289ms
2026-07-19 14:02:44.13 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 318ms
2026-07-19 14:02:44.33 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 844ms
2026-07-19 14:02:44.35 | INFO    | PARSER   | [Smenime] Exracted 4 items in 19ms
2026-07-19 14:02:44.77 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 416ms
2026-07-19 14:02:45.31 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 394ms
2026-07-19 14:02:45.43 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 926ms
2026-07-19 14:02:45.49 | INFO    | PARSER   | [Smenime] Exracted 4 items in 28ms
2026-07-19 14:02:45.71 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 361ms
2026-07-19 14:02:45.96 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 249ms
2026-07-19 14:02:46.33 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 287ms
2026-07-19 14:02:46.84 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 869ms
2026-07-19 14:02:46.99 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 148ms
2026-07-19 14:02:49.34 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 2339ms
2026-07-19 14:02:50.40 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 2749ms
2026-07-19 14:02:50.97 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 3247ms
2026-07-19 14:02:51.30 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 4086ms
2026-07-19 14:02:51.83 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 3415ms
2026-07-19 14:05:36.31 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'iphone 13'
2026-07-19 14:05:36.90 | INFO    | PARSER   | [Smenime] Exracted 4 items in 33ms
2026-07-19 14:05:37.06 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 355ms
2026-07-19 14:05:37.36 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 299ms
2026-07-19 14:05:37.78 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 308ms
2026-07-19 14:05:38.37 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 589ms
2026-07-19 14:05:39.26 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 14:07:30.04 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 14:07:30.86 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 14:16:10.81 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 14:16:19.55 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
